,Anchors,Precisions,Classes,Predicted Sales,Dates,ESales
0,"['2005.00 < CompetitionOpenSinceYear <= 2007.00', 'Assortment = Basic', 'CompetitionOpenSinceMonth > 10.00', 'DayOfWeek = Saturday', '330.00 < CompetitionDistance <= 870.00', 'Month = Jul', 'PromoOpen <= 24160.25', 'Promo = Yes', 'Promo2SinceYear <= 2013.00']",0.8079331941544885,3.0,5543.1343,2015-07-31,6064
1,"['330.00 < CompetitionDistance <= 870.00', 'DayOfWeek = Friday', 'PromoOpen <= 24160.25', '0.00 < CompetitionOpenSinceYear <= 2007.00', 'Assortment = Basic', 'Promo2SinceYear <= 2011.00', 'Promo = Yes', '0.00 < Promo2SinceWeek <= 14.00', 'Month = Jul', 'CompetitionOpenSinceMonth > 3.00']",0.6016597510373444,3.0,5731.4277,2015-07-30,5567
2,"['330.00 < CompetitionDistance <= 870.00', 'Promo = Yes', 'Assortment = Basic', 'DayOfWeek = Thursday', '5.00 < Promo2SinceWeek <= 35.00', 'CompetitionOpenSinceMonth > 10.00', 'CompetitionOpenSinceYear > 2005.00', 'PromoOpen <= 24160.25']",0.81044957472661,4.0,6177.727,2015-07-29,6402
3,"['330.00 < CompetitionDistance <= 870.00', '5.00 < Promo2SinceWeek <= 14.00', 'Promo = Yes', 'CompetitionOpenSinceMonth > 10.00', 'Assortment = Basic', 'DayOfWeek = Wednesday', 'CompetitionOpenSinceYear <= 2007.00', 'Promo2SinceYear <= 2011.00', 'PromoOpen > 10.50']",0.8125490196078431,4.0,6354.1694,2015-07-28,5671
4,"['48.00 < PromoOpen <= 24160.25', 'Promo = Yes', 'Promo2SinceWeek > 5.00', 'CompetitionOpenSinceMonth > 10.00', 'Month = Jul', '330.00 < CompetitionDistance <= 870.00', 'Promo2SinceYear > 2009.00', 'CompetitionOpenSinceYear <= 2007.00', 'DayOfWeek = Tuesday']",0.8052568697729988,5.0,7407.768,2015-07-27,6627
5,"['DayOfWeek = Sunday', 'Assortment = Basic', 'Promo = No', 'Month = Jul', 'CompetitionOpenSinceMonth > 10.00', '330.00 < CompetitionDistance <= 870.00', 'Promo2SinceWeek > 0.00']",0.768409818569904,2.0,2901.8,2015-07-25,2512
6,"['Promo = No', 'PromoOpen <= 24160.25', 'Assortment = Basic', 'Month = Jul', '330.00 < CompetitionDistance <= 1700.00', 'Promo2SinceYear <= 2013.00', 'Promo2SinceWeek > 0.00', 'CompetitionOpenSinceYear <= 2007.00']",0.7525252525252525,2.0,3950.5803,2015-07-24,3854
7,"['PromoOpen <= 24160.25', 'Promo = No', 'Assortment = Basic', 'Promo2SinceYear <= 2013.00', '330.00 < CompetitionDistance <= 1700.00', 'Promo2SinceWeek > 5.00', 'Month = Jul', 'CompetitionOpenSinceYear <= 2010.00']",0.7618710134656272,2.0,4139.6953,2015-07-23,4108
8,"['Promo = No', 'DayOfWeek = Thursday', 'Promo2SinceYear > 2009.00', '5.00 < Promo2SinceWeek <= 35.00', '330.00 < CompetitionDistance <= 1700.00', 'Assortment = Basic', 'PromoOpen > 10.50', 'CompetitionOpenSinceYear <= 2007.00']",0.755939524838013,2.0,4308.865,2015-07-22,5093
9,"['Promo = No', 'PromoOpen <= 24160.25', 'DayOfWeek = Wednesday', '330.00 < CompetitionDistance <= 1700.00', 'Assortment = Basic', 'Promo2SinceWeek > 0.00', 'Promo2SinceYear <= 2011.00', 'CompetitionOpenSinceYear <= 2010.00']",0.7699859747545582,2.0,4033.3591,2015-07-21,3836
