,Anchors,Precisions,Classes,Predicted Sales,Dates,ESales
0,"['PromoOpen > 24178.00', 'Promo = Yes', 'Assortment = Extended', '330.00 < CompetitionDistance <= 870.00', '2007.00 < CompetitionOpenSinceYear <= 2010.00', '0.00 < CompetitionOpenSinceMonth <= 9.00']",0.8044077134986226,6.0,11217.102,2015-07-31,13995
1,"['Promo = Yes', 'PromoOpen > 24178.00', 'Assortment = Extended', '330.00 < CompetitionDistance <= 870.00', '0.00 < CompetitionOpenSinceMonth <= 9.00', 'Promo2SinceYear <= 0.00', '2007.00 < CompetitionOpenSinceYear <= 2010.00']",0.8773388773388774,6.0,10213.627,2015-07-30,10387
2,"['PromoOpen > 24178.00', 'Promo = Yes', 'Assortment = Extended', '330.00 < CompetitionDistance <= 870.00', '0.00 < CompetitionOpenSinceMonth <= 9.00', '2007.00 < CompetitionOpenSinceYear <= 2010.00', 'Promo2SinceYear <= 0.00', 'Month = Jul', 'Promo2SinceWeek <= 0.00']",0.9782608695652174,6.0,10109.018,2015-07-29,10514
3,"['PromoOpen > 24178.00', 'Promo = Yes', 'Assortment = Extended', '330.00 < CompetitionDistance <= 870.00', 'CompetitionOpenSinceMonth > 0.00', '2007.00 < CompetitionOpenSinceYear <= 2010.00', 'Promo2SinceYear <= 0.00', 'Promo2SinceWeek <= 0.00', 'Month = Jul', 'DayOfWeek = Wednesday']",0.8346774193548387,6.0,10621.372,2015-07-28,10275
4,"['Promo = Yes', 'DayOfWeek = Tuesday', 'PromoOpen > 24168.75', 'Assortment = Extended', 'CompetitionDistance <= 2960.00']",0.7962085308056872,6.0,12461.079,2015-07-27,11812
5,"['PromoOpen > 24178.00', 'Assortment = Extended', '330.00 < CompetitionDistance <= 870.00', '6.00 < CompetitionOpenSinceMonth <= 9.00', '2007.00 < CompetitionOpenSinceYear <= 2010.00', 'Promo2SinceYear <= 0.00', 'Month = Jul', 'Promo2SinceWeek <= 0.00', 'DayOfWeek = Sunday']",1.0,6.0,9104.6,2015-07-25,9322
6,"['Assortment = Extended', 'DayOfWeek = Saturday', 'PromoOpen > 24178.00', '2007.00 < CompetitionOpenSinceYear <= 2010.00', '6.00 < CompetitionOpenSinceMonth <= 9.00', 'Promo2SinceWeek <= 0.00', '330.00 < CompetitionDistance <= 870.00', 'Promo2SinceYear <= 0.00', 'Month = Jul', 'Promo = No']",0.7650834403080873,5.0,8291.909,2015-07-24,8322
7,"['PromoOpen > 24178.00', 'Assortment = Extended', 'DayOfWeek = Friday', 'Month = Jul', '330.00 < CompetitionDistance <= 870.00', '2007.00 < CompetitionOpenSinceYear <= 2010.00', '6.00 < CompetitionOpenSinceMonth <= 9.00', 'Promo2SinceYear <= 0.00', 'Promo2SinceWeek <= 0.00', 'Promo = No']",0.5148514851485149,5.0,8431.868,2015-07-23,7286
8,"['PromoOpen > 24178.00', 'Assortment = Extended', 'Month = Jul', '330.00 < CompetitionDistance <= 870.00', '6.00 < CompetitionOpenSinceMonth <= 9.00', '2007.00 < CompetitionOpenSinceYear <= 2010.00', 'DayOfWeek = Thursday', 'Promo2SinceYear <= 2009.00', 'Promo = No', 'Promo2SinceWeek <= 35.00']",0.5155778894472361,5.0,8159.8057,2015-07-22,8503
9,"['PromoOpen > 24178.00', 'Assortment = Extended', '6.00 < CompetitionOpenSinceMonth <= 9.00', '2007.00 < CompetitionOpenSinceYear <= 2010.00', '330.00 < CompetitionDistance <= 870.00', 'Promo2SinceYear <= 0.00', 'Promo2SinceWeek <= 0.00', 'Month = Jul', 'DayOfWeek = Wednesday', 'Promo = No']",1.0,5.0,8314.773,2015-07-21,9176
10,"['330.00 < CompetitionDistance <= 870.00', 'DayOfWeek = Tuesday', 'PromoOpen > 24178.00', 'Assortment = Extended', '6.00 < CompetitionOpenSinceMonth <= 9.00', 'Promo2SinceYear <= 0.00', '2007.00 < CompetitionOpenSinceYear <= 2010.00', 'Promo2SinceWeek <= 0.00', 'Month = Jul']",0.8285714285714286,6.0,9863.796,2015-07-20,10283
11,"['330.00 < CompetitionDistance <= 870.00', 'Assortment = Extended', 'PromoOpen > 24178.00', '2007.00 < CompetitionOpenSinceYear <= 2010.00', '6.00 < CompetitionOpenSinceMonth <= 9.00', 'Promo2SinceYear <= 0.00', 'DayOfWeek = Sunday', 'Promo2SinceWeek <= 0.00']",0.9921568627450981,6.0,9692.674,2015-07-18,9703
12,"['PromoOpen > 24178.00', 'Promo = Yes', '330.00 < CompetitionDistance <= 870.00', 'Assortment = Extended', '0.00 < CompetitionOpenSinceMonth <= 9.00', '2007.00 < CompetitionOpenSinceYear <= 2010.00', 'Promo2SinceYear <= 0.00', 'Month = Jul', 'DayOfWeek = Saturday', 'Promo2SinceWeek <= 0.00']",1.0,6.0,9863.73,2015-07-17,10514
13,"['Promo = Yes', 'PromoOpen > 24178.00', 'Assortment = Extended', '330.00 < CompetitionDistance <= 870.00', '0.00 < CompetitionOpenSinceMonth <= 9.00', '2007.00 < CompetitionOpenSinceYear <= 2010.00', 'Promo2SinceYear <= 0.00', 'Month = Jul', 'Promo2SinceWeek <= 0.00']",0.9926108374384236,6.0,10352.886,2015-07-16,11432
14,"['PromoOpen > 24178.00', 'Promo = Yes', 'Assortment = Extended', '330.00 < CompetitionDistance <= 870.00', '0.00 < CompetitionOpenSinceMonth <= 9.00', '2007.00 < CompetitionOpenSinceYear <= 2010.00', 'Month = Jul', 'Promo2SinceYear <= 0.00', 'Promo2SinceWeek <= 0.00']",0.9904306220095693,6.0,10803.034,2015-07-15,11126
15,"['PromoOpen > 24178.00', 'Promo = Yes', 'Assortment = Extended', '330.00 < CompetitionDistance <= 870.00', '2007.00 < CompetitionOpenSinceYear <= 2010.00', 'CompetitionOpenSinceMonth > 0.00', 'Promo2SinceYear <= 0.00', 'Promo2SinceWeek <= 0.00', 'Month = Jul', 'DayOfWeek = Wednesday']",0.7897727272727273,6.0,11303.081,2015-07-14,12315
16,"['Promo = Yes', 'DayOfWeek = Tuesday', 'CompetitionDistance <= 870.00', 'PromoOpen > 48.00', 'Assortment = Extended']",0.8353344768439108,6.0,13067.221,2015-07-13,13550
17,"['330.00 < CompetitionDistance <= 870.00', 'PromoOpen > 24178.00', 'Assortment = Extended', '6.00 < CompetitionOpenSinceMonth <= 9.00', 'Promo2SinceYear <= 0.00', '2007.00 < CompetitionOpenSinceYear <= 2010.00', 'DayOfWeek = Sunday', 'Promo2SinceWeek <= 0.00', 'Promo = No']",0.971540726202159,6.0,9840.877,2015-07-11,10996
18,"['PromoOpen > 24178.00', 'DayOfWeek = Saturday', '2007.00 < CompetitionOpenSinceYear <= 2010.00', 'Assortment = Extended', '6.00 < CompetitionOpenSinceMonth <= 9.00', '330.00 < CompetitionDistance <= 870.00', 'Promo2SinceYear <= 2013.00', 'Month = Jul', 'Promo = No']",0.9886363636363636,5.0,8927.102,2015-07-10,9177
19,"['PromoOpen > 24178.00', 'Assortment = Extended', 'DayOfWeek = Friday', '330.00 < CompetitionDistance <= 870.00', 'Month = Jul', '2007.00 < CompetitionOpenSinceYear <= 2010.00', '6.00 < CompetitionOpenSinceMonth <= 9.00', 'Promo2SinceWeek <= 0.00', 'Promo2SinceYear <= 0.00', 'Promo = No']",0.4455709711846318,5.0,8944.992,2015-07-09,9093
20,"['Assortment = Extended', 'PromoOpen > 24178.00', 'CompetitionDistance <= 870.00', '2007.00 < CompetitionOpenSinceYear <= 2013.00', 'CompetitionOpenSinceMonth > 0.00', 'Month = Jul', 'Promo2SinceYear <= 0.00', 'Promo2SinceWeek <= 0.00']",0.6005141388174807,6.0,8959.174,2015-07-08,8620
21,"['Assortment = Extended', 'Promo2SinceYear <= 0.00', 'CompetitionOpenSinceMonth <= 9.00', 'PromoOpen > 24178.00', 'Promo2SinceWeek <= 0.00', '330.00 < CompetitionDistance <= 870.00', '2007.00 < CompetitionOpenSinceYear <= 2010.00', 'Month = Jul', 'DayOfWeek = Wednesday', 'Promo = No']",0.9742268041237113,5.0,8554.837,2015-07-07,8127
22,"['330.00 < CompetitionDistance <= 870.00', 'DayOfWeek = Tuesday', 'Assortment = Extended', 'PromoOpen > 24178.00', '0.00 < CompetitionOpenSinceMonth <= 9.00', 'Promo2SinceYear <= 0.00', '2007.00 < CompetitionOpenSinceYear <= 2010.00', 'Month = Jul', 'Promo2SinceWeek <= 5.00']",0.9147286821705426,6.0,10135.354,2015-07-06,9967
23,"['330.00 < CompetitionDistance <= 870.00', 'Assortment = Extended', 'PromoOpen > 24178.00', '6.00 < CompetitionOpenSinceMonth <= 9.00', 'Promo2SinceYear <= 0.00', '2007.00 < CompetitionOpenSinceYear <= 2010.00', 'DayOfWeek = Sunday', 'Promo2SinceWeek <= 0.00']",0.9944598337950139,6.0,9368.089,2015-07-04,9358
