,Anchors,Precisions,Classes,Predicted Sales,Sales,Dates
0,"['870.00 < CompetitionDistance <= 1700.00', '4.00 < DayOfWeek <= 6.00', 'Promo > 0.00', '6.00 < CompetitionOpenSinceMonth <= 9.00', 'Assortment <= 1.00', '3.00 < Month <= 8.00', '70.00 < CompetitionOpen <= 24171.00', 'PromoOpen > 24178.00']",0.7015793848711555,4.0,5859.136,5263.0,2015-07-31
1,"['3.00 < DayOfWeek <= 4.00', '0.00 < Promo <= 1.00', 'Assortment <= 1.00', '6.00 < CompetitionOpenSinceMonth <= 9.00', '870.00 < CompetitionDistance <= 1700.00', '70.00 < CompetitionOpen <= 24158.00', 'PromoOpen > 24178.00', '3.00 < Month <= 10.00']",0.7381845461365342,4.0,5771.354,5020.0,2015-07-30
2,"['870.00 < CompetitionDistance <= 1700.00', '2.00 < DayOfWeek <= 3.00', 'Promo2SinceYear <= 2013.00', 'Assortment <= 1.00', '70.00 < CompetitionOpen <= 24158.00', 'Promo2SinceWeek <= 5.00', '6.00 < Month <= 10.00', '6.00 < CompetitionOpenSinceMonth <= 9.00', '0.00 < Promo <= 1.00']",0.5528815706143129,3.0,5754.0835,4782.0,2015-07-29
3,"['870.00 < CompetitionDistance <= 1700.00', 'Promo > 0.00', '6.00 < CompetitionOpenSinceMonth <= 9.00', '1.00 < DayOfWeek <= 2.00', 'Assortment <= 1.00', 'CompetitionOpen > 70.00', 'PromoOpen > 24178.00', 'Promo2SinceWeek <= 0.00']",0.7665078284547311,4.0,6092.345,5011.0,2015-07-28
4,"['0.00 < Promo <= 1.00', 'PromoOpen > 24168.75', '870.00 < CompetitionDistance <= 2960.00', 'DayOfWeek <= 1.00', '6.00 < Month <= 8.00', '70.00 < CompetitionOpen <= 107.00', '6.00 < CompetitionOpenSinceMonth <= 9.00', 'Promo2SinceYear <= 0.00', 'Assortment <= 3.00', 'Promo2SinceWeek <= 0.00']",0.8914956011730205,5.0,7099.977,6102.0,2015-07-27
5,"['Assortment <= 1.00', 'Promo <= 0.00', 'DayOfWeek > 5.00', '6.00 < CompetitionOpenSinceMonth <= 9.00', 'CompetitionOpen > 70.00', '870.00 < CompetitionDistance <= 2960.00', 'PromoOpen > 10.50']",0.8518005540166205,2.0,3627.6301,4364.0,2015-07-25
6,"['Assortment <= 1.00', 'Promo <= 0.00', '870.00 < CompetitionDistance <= 1700.00', 'CompetitionOpen > 70.00', 'DayOfWeek > 4.00', '6.00 < Month <= 10.00', 'PromoOpen > 10.50']",0.7567567567567568,2.0,4483.2954,3706.0,2015-07-24
7,"['Assortment <= 1.00', 'Promo <= 0.00', '6.00 < CompetitionOpenSinceMonth <= 9.00', 'CompetitionOpen > 70.00', 'DayOfWeek > 2.00', '870.00 < CompetitionDistance <= 1700.00', 'Promo2SinceYear <= 2013.00', '6.00 < Month <= 10.00']",0.7673611111111112,2.0,4447.855,3769.0,2015-07-23
8,"['Assortment <= 1.00', 'Promo <= 0.00', '6.00 < CompetitionOpenSinceMonth <= 9.00', 'CompetitionOpen > 70.00', 'DayOfWeek > 2.00', '870.00 < CompetitionDistance <= 1700.00', 'Promo2SinceYear <= 2013.00', '6.00 < Month <= 10.00']",0.8045375218150087,2.0,4263.8486,3464.0,2015-07-22
9,"['Assortment <= 1.00', 'Promo <= 0.00', '870.00 < CompetitionDistance <= 1700.00', '70.00 < CompetitionOpen <= 24171.00', 'DayOfWeek > 1.00', '6.00 < Month <= 8.00', 'Promo2SinceYear <= 2011.00', '3.00 < CompetitionOpenSinceMonth <= 9.00']",0.7840136054421769,2.0,4369.5024,3558.0,2015-07-21
